0010271895  52.70  48.10  66.50  75.70  80.60  88.40  89.60  89.70  89.10  74.20  65.10  57.10   
0010271896  53.00  59.00  63.90  80.60  87.90  87.90  91.60  94.00  89.20  75.80  68.90  57.70   
0010271897  52.10  61.10  69.90  74.80  82.20  94.00  92.80  89.50  88.70  81.00  67.10  58.00   
0010271898  59.10  58.00  69.90  71.00  88.10  92.70  90.50  88.40  85.40  72.30  61.00  54.30   
0010271899  54.40  51.40  67.80  72.60  88.60  92.30  91.90  92.00  86.30  78.10  67.80  55.60   
0010271900  55.30  56.40  64.50  76.70  84.40  85.20  90.60  93.50  89.10  78.20  66.40  57.50   
0010271901  57.50  53.90  65.50  70.00  84.00  91.10  95.10  89.60  83.70  76.20  62.70  53.70   
0010271902  55.50  50.90  66.20  74.90  88.30  94.60  96.10  94.60  84.80  75.60  69.20  55.60   
0010271903  53.50  59.50  68.40  74.00  81.00  85.10  92.00  91.80  86.70  77.00  62.50  52.80   
0010271904  52.60  60.20  70.30  72.70  84.20  91.30  90.60  89.60  90.30  80.10  64.90  57.00   
0010271905  49.80  49.50  71.60  75.70  85.40  91.40  91.10  89.90  88.20  74.40  68.00  52.70   
0010271906  57.20  58.10  61.90  79.10  82.10  91.10  89.90  91.70  88.60  72.60  68.80  60.40   
0010271907  65.10  60.60  77.30  70.10  79.20  88.20  92.80  92.50  86.90  76.90  62.80  55.50   
0010271908  54.60  55.20  74.60  79.70  84.00  90.40  91.90  91.40  87.00  75.30  70.30  61.60   
0010271909  61.00  63.30  67.80  75.60  81.40  89.00  91.50  92.80  87.30  79.10  74.80  52.10   
0010271910  57.60  56.90  75.20  75.90  81.90  86.90  88.80  91.20  90.30  79.50  64.10  53.20   
0010271911  61.30  65.40  71.10  74.90  86.60  93.90  89.10  89.80  92.50  80.40  62.60  60.10   
0010271912  51.40  55.10  63.60  76.00  84.90  85.80  90.20  90.20  87.50  77.60  64.80  56.90   
0010271913  62.50  58.20  66.50  75.00  84.60  91.10  92.70  93.50  84.00  73.90  70.10  57.20   
0010271914  58.80  57.50  62.20  76.70  85.40  96.40  93.90  89.70  84.50  74.80  65.80  51.50   
0010271915  53.30  58.90  58.10  79.00  86.10  90.80  92.20  90.10  88.50  78.00  70.40  58.00   
0010271916  62.60  59.90  67.10  74.70  86.30  89.00  87.30  91.30  86.60  78.00  68.50  58.20   
0010271917  60.00  60.90  68.70  77.50  79.70  90.90  90.90  89.50  84.40  73.40  64.30  50.90   
0010271918  48.70  65.30  74.60  71.90  85.30  92.20  90.60  92.40  83.10  78.40  64.50  59.50   
0010271919  56.30  58.50  69.00  76.20  79.80  88.90  90.10  89.60  88.30  84.70  69.00  58.80   
0010271920  56.80  56.60  63.70  73.70  80.90  88.70  90.10  87.40  87.90  78.40  63.30  55.20   
0010271921  61.10  62.00  75.90  74.50  82.30  93.20  92.90  91.80  93.20  76.70  70.10  62.60   
0010271922  55.50  64.30  66.60  77.80  82.10  89.90  91.10  90.40  90.00  77.00  69.00  63.70   
0010271923  62.80  57.70  66.70  74.80  79.80  87.40  89.40  88.50  87.70  76.10  63.70  62.80   
0010271924  52.70  58.00  61.80  74.80  79.50  90.60  91.90  94.30  83.60  79.10  69.70  58.50   
0010271925  57.20  64.30  70.80  80.80  82.60  93.30  93.60  93.30  96.80  75.90  63.20  55.70   
0010271926  53.80  62.10  59.90  74.00  83.40  89.40  90.90  90.40  89.90  78.30  61.50  61.80   
0010271927  59.50  68.70  67.40  79.80  84.90  88.30  92.40  89.80  90.80  81.50  71.40  57.00   
0010271928  56.00  59.00  67.10  71.40  81.50  86.00  91.40  91.60  84.80  79.40  64.50  58.30   
0010271929  59.90  56.40  70.50  78.10  82.10  88.50  91.40  93.00  84.90  74.40  62.60  56.20   
0010271930  55.70  65.80  62.80  78.80  84.40  89.90  96.90  91.70  86.90  73.60  62.60  52.30   
0010271931  55.30  61.60  60.70  74.00  80.70  93.80  92.50  89.00  92.20  80.90  73.00  63.60   
0010271932  62.50  68.00  63.00  77.20  81.30  90.10  93.60  91.10  84.70  74.70  60.50  58.90   
0010271933  61.60  58.70  67.40  73.70  87.70  91.80  89.30  90.80  91.60  78.10  67.20  66.50   
0010271934  58.60  56.40  65.90  76.10  83.00  91.10  92.00  90.40  86.50  78.50  68.40  55.30   
0010271935  57.90  60.30  72.20  75.00  83.80  88.30  91.90  91.90  86.20  80.00  66.10  49.40   
0010271936  54.20  55.80  71.40  73.70  85.70  94.60  92.60  91.50  89.30  78.20  64.10  58.50   
0010271937  65.10  58.30  64.70  75.80  84.40  91.30  91.30  91.30  84.20  73.00  61.40  55.90   
